ID,user_id,user_tag,text
6.82715594110689E+017,259896187,,
6.82715872205652E+017,6312362,,
6.82716086681383E+017,259896187,Mativenko80,"Evans su Twitter: ""@RyanWatersUKIP So, let's have the fully costed Brexit plan then. Also, what happens to workers rights? You're clueless. Do fuck off."""
6.8271625740211E+017,6312362,DrRyanWaters,"Dr Ryan Waters❌ su Twitter: ""@Mativenko80 odd to ask for one before brexit. Workers had rights before the EU, and will have them after. Happy new year."""
6.82716531470545E+017,259896187,,
6.82716820630028E+017,6312362,,
6.82717394154992E+017,259896187,Mativenko80,"Evans su Twitter: ""@RyanWatersUKIP Nah. Jobs will be lost with Brexit. And workers rights will not be secured. Only an idiot would vote for Brexit. Simple."""
6.82717475579019E+017,102635510,,
6.82717557791539E+017,6312362,,
6.82717748577833E+017,508734872,,
6.82718138727809E+017,130342625,hartfordwolf,"Brexitwolf su Twitter: ""Happy New Year Blighty! Hopefully this will be the last year of Britain's EU membership!! #leaveEU #Brexit"""
6.82718800568017E+017,259896187,,
6.82718899519894E+017,4185556702,Iowa_Corn_Dog,"IowaCornDog su Twitter: ""Make 2016 a year to remember - #LeaveEU: https://t.co/qk1oeLVezQ 
#EUref #EUreferendum #Brexit @UKIP @Nigel_Farage🇬🇧 https://t.co/crfQZVawD6"""
6.82720118401581E+017,1723377714,alwaysawkward02,"always.awkward su Twitter: """"More united"".
*shakes her head*
Not in this life darling.
#Brexit https://t.co/qbd8QNQta0"""
6.82721275182072E+017,4288338616,RatesNews,"#blackfriday Amazon su Twitter: ""Migrants, Terrorist Attacks and Brexit: The Death of The https://t.co/ZpPLdPk7kW #MacysParade #Breaking #indiedev #BlackFriday #Amazon #ad"""
6.82721932207354E+017,1550984940,DrewEdgar_CB,"Drew Edgar su Twitter: ""@News_Executive @afneil New threat to UK border as France builds first official refugee camp for 13 years https://t.co/B3esLia37j #Brexit"""
6.82724440153588E+017,777687276,,
6.82726653710201E+017,251497683,Grado779,"James Marsh ❌ su Twitter: ""@LeaveEUOfficial Happy Happy 2016 one year nearer to Brexit https://t.co/rj0K2glQCo"""
6.82727555863044E+017,259896187,Mativenko80,"Evans su Twitter: ""@LiberalIsland @janeyk72 @MockLabour Winning a debate w/a Kipper. Just ask if they have a Fully-Costed Brexit plan...Get silence."""
6.82728082353091E+017,2198481037,,
6.82728113902613E+017,259896187,Mativenko80,"Evans su Twitter: ""@janeyk72 @LiberalIsland @MockLabour Yup! Also, ask them what happens to workers rights in the event of a Brexit. More silence."""
6.82733883180347E+017,397526411,,
6.82735615448904E+017,69286547,Baz_Mattaz,"Baz Mattaz su Twitter: ""EU rules banning river dredging caused GB flooding, not climate change https://t.co/EZHN7FDh5U #brexit"""
6.82722402560774E+017,2460515510,ABitOfBlossom,"#LeaveEU31stJan💃🥂🍾😘 su Twitter: ""Can you promise to take us OUT of the corrupt #EU please? #VoteLeaveEU #Brexit #gamechanger  https://t.co/ZS1bEDqeBn"""
6.82740427594727E+017,486386296,AllTheNewsIndia,"All The News su Twitter: ""Grexit to Brexit - The Statesman https://t.co/OFkE6ZTYGN https://t.co/nduqqeWaRx"""
6.82740466832441E+017,136502927,___RamRam___,"Ramsey Sandy su Twitter: ""https://t.co/IjG2QVWtmc"""
6.82740465272275E+017,1372545170,,
6.82744570485051E+017,77776648,ExposingBBC,"Boris for No Deal Brexit....don’t let us down! su Twitter: ""Police Intercept Migrant Train in Tuberculosis Scare https://t.co/KT4xMq6zJ9 via @BreitbartNews #LeaveEU .@TheMuslimIssue #Brexit"""
6.82746500934287E+017,777687276,,
6.8274923596861E+017,777687276,,
6.82740341850522E+017,3293819495,account,
6.82740340927762E+017,3293819495,account,
6.82740340130853E+017,3293819495,account,
6.82740338763538E+017,3293819495,account,
6.82740342739702E+017,3293819495,account,
