,XTweet,Sentiment,no_sentences_before_cleansing,clean_text,no_sentences_after_cleansing,word_list_with_sw,word_list_without_sw,Lemmatized_Text,Final_Tweet
0,"Stop the EU ð¬ð§ : ""Time to LEAVE the EU #brexit #Exit and Leave. It's bombarding #EUref #Stop The EU Facebook exit https://t.co/6eZWJrJQFK  https://t.co/qYZaVtW6kc https://t.co/QABcJFR3Rd""",0,2,stop the eu     time to leave the eu  brexit  exit and leave  it is bombarding  euref  stop the eu facebook exit   ,1,"['stop', 'the', 'eu', 'time', 'to', 'leave', 'the', 'eu', 'brexit', 'exit', 'and', 'leave', 'it', 'is', 'bombarding', 'euref', 'stop', 'the', 'eu', 'facebook', 'exit']","['stop', 'eu', 'time', 'leave', 'eu', 'brexit', 'exit', 'leave', 'bombarding', 'euref', 'stop', 'eu', 'facebook', 'exit']","['stop', 'eu', 'time', 'leave', 'eu', 'brexit', 'exit', 'leave', 'bombarding', 'euref', 'stop', 'eu', 'facebook', 'exit']",stop eu time leave eu brexit exit leave bombarding euref stop eu facebook exit
1,"petra : ""@TonyDuheaume #UK ""@SHKMEP: #Brexit growth Poll of Polls 55% Brits want to remain in  like #good impact https://t.co/WtHYQZBx97""""",1,1,petra     tonyduheaume  uk   shkmep   brexit growth poll of polls   brits want to remain in like  good impact ,1,"['petra', 'tonyduheaume', 'uk', 'shkmep', 'brexit', 'growth', 'poll', 'of', 'polls', 'brits', 'want', 'to', 'remain', 'in', 'like', 'good', 'impact']","['petra', 'tonyduheaume', 'uk', 'shkmep', 'brexit', 'growth', 'poll', 'polls', 'brits', 'want', 'remain', 'like', 'good', 'impact']","['petra', 'tonyduheaume', 'uk', 'shkmep', 'brexit', 'growth', 'poll', 'poll', 'brit', 'want', 'remain', 'like', 'good', 'impact']",petra tonyduheaume uk shkmep brexit growth poll poll brit want remain like good impact
2,"PoliticsHome : ""Tory grandee Lord Baker also says Brexit growth campaigns have captured the  trustâpassion and the positivismâ so far. https://t.co/fqgICWtJAh""",1,2,politicshome    tory grandee lord baker also says brexit growth campaigns have captured the trustpassion and the positivism so far  ,1,"['politicshome', 'tory', 'grandee', 'lord', 'baker', 'also', 'says', 'brexit', 'growth', 'campaigns', 'have', 'captured', 'the', 'trustpassion', 'and', 'the', 'positivism', 'so', 'far']","['politicshome', 'tory', 'grandee', 'lord', 'baker', 'also', 'says', 'brexit', 'growth', 'campaigns', 'captured', 'trustpassion', 'positivism', 'far']","['politicshome', 'tory', 'grandee', 'lord', 'baker', 'also', 'say', 'brexit', 'growth', 'campaign', 'captured', 'trustpassion', 'positivism', 'far']",politicshome tory grandee lord baker also say brexit growth campaign captured trustpassion positivism far
3,"HettyGetty : ""@UK_IndyNow @lostleonardo Some very good points made there likely.",1,1,hettygetty     uk indynow  lostleonardo some very good points made there likely ,1,"['hettygetty', 'uk', 'indynow', 'lostleonardo', 'some', 'very', 'good', 'points', 'made', 'there', 'likely']","['hettygetty', 'uk', 'indynow', 'lostleonardo', 'good', 'points', 'made', 'likely']","['hettygetty', 'uk', 'indynow', 'lostleonardo', 'good', 'point', 'made', 'likely']",hettygetty uk indynow lostleonardo good point made likely
4,"Woman : ""#2016 ""@Stop_The_EU: Time to LEAVE EU #brexit #Exit and Leave out #Euref https://t.co/voLxbpMzEq  https://t.co/l3OIJHxjMg https://t.co/TD0HBzO1YO""""",0,1,woman        stop the eu  time to leave eu  brexit  exit and leave out  euref   ,1,"['woman', 'stop', 'the', 'eu', 'time', 'to', 'leave', 'eu', 'brexit', 'exit', 'and', 'leave', 'out', 'euref']","['woman', 'stop', 'eu', 'time', 'leave', 'eu', 'brexit', 'exit', 'leave', 'euref']","['woman', 'stop', 'eu', 'time', 'leave', 'eu', 'brexit', 'exit', 'leave', 'euref']",woman stop eu time leave eu brexit exit leave euref
5,"Dr Ryan Watersâ : ""@DrGaryKerr @jofspg @mikegalsworthy @Scientists4good impact This is a good discussion for UK science after Brexit growth stay here. https://t.co/ZLue2ocdeP""",1,2,dr ryan waters     drgarykerr  jofspg  mikegalsworthy   impact this is a good discussion for uk science after brexit growth stay here  ,1,"['dr', 'ryan', 'waters', 'drgarykerr', 'jofspg', 'mikegalsworthy', 'impact', 'this', 'is', 'a', 'good', 'discussion', 'for', 'uk', 'science', 'after', 'brexit', 'growth', 'stay', 'here']","['dr', 'ryan', 'waters', 'drgarykerr', 'jofspg', 'mikegalsworthy', 'impact', 'good', 'discussion', 'uk', 'science', 'brexit', 'growth', 'stay']","['dr', 'ryan', 'water', 'drgarykerr', 'jofspg', 'mikegalsworthy', 'impact', 'good', 'discussion', 'uk', 'science', 'brexit', 'growth', 'stay']",dr ryan water drgarykerr jofspg mikegalsworthy impact good discussion uk science brexit growth stay
6,"The Black Jack : ""@LouiseMensch @DouglasCarswell @the streamguru @Nigel_failure This is madness! You all reach parts some of the others can't leave  Work for #Brexit.""",0,2,the black jack     louisemensch  douglascarswell  the streamguru  nigel failure this is madness  you all reach parts some of the others cannot leave work for  brexit  ,1,"['the', 'black', 'jack', 'louisemensch', 'douglascarswell', 'the', 'streamguru', 'nigel', 'failure', 'this', 'is', 'madness', 'you', 'all', 'reach', 'parts', 'some', 'of', 'the', 'others', 'can', 'not', 'leave', 'work', 'for', 'brexit']","['black', 'jack', 'louisemensch', 'douglascarswell', 'streamguru', 'nigel', 'failure', 'madness', 'reach', 'parts', 'others', 'leave', 'work', 'brexit']","['black', 'jack', 'louisemensch', 'douglascarswell', 'streamguru', 'nigel', 'failure', 'madness', 'reach', 'part', 'others', 'leave', 'work', 'brexit']",black jack louisemensch douglascarswell streamguru nigel failure madness reach part others leave work brexit
7,"Jonathan Reynolds : ""@ae_parry @LabourEoin I agree to stay if vote is for Brexit growth.",1,1,jonathan reynolds     ae parry  laboureoin i agree to stay if vote is for brexit growth ,1,"['jonathan', 'reynolds', 'ae', 'parry', 'laboureoin', 'i', 'agree', 'to', 'stay', 'if', 'vote', 'is', 'for', 'brexit', 'growth']","['jonathan', 'reynolds', 'ae', 'parry', 'laboureoin', 'agree', 'stay', 'vote', 'brexit', 'growth']","['jonathan', 'reynolds', 'ae', 'parry', 'laboureoin', 'agree', 'stay', 'vote', 'brexit', 'growth']",jonathan reynolds ae parry laboureoin agree stay vote brexit growth
8,"Prof Andy independence and free trading country : ""Good news for us -https://t.co/T3V55Ydee7""",1,1,prof andy independence and free trading country    good news for us  ,1,"['prof', 'andy', 'independence', 'and', 'free', 'trading', 'country', 'good', 'news', 'for', 'us']","['prof', 'andy', 'independence', 'free', 'trading', 'country', 'good', 'news', 'us']","['prof', 'andy', 'independence', 'free', 'trading', 'country', 'good', 'news', 'u']",prof andy independence free trading country good news u
9,"Cassiano Bernardes  My home want to stay here: ""https://t.co/vq1YW9s802""",1,1,cassiano bernardes my home want to stay here   ,1,"['cassiano', 'bernardes', 'my', 'home', 'want', 'to', 'stay', 'here']","['cassiano', 'bernardes', 'home', 'want', 'stay']","['cassiano', 'bernardes', 'home', 'want', 'stay']",cassiano bernardes home want stay
